MonthDay,Snow,Year
Jan 01,4.5,1899
Jan 02,4.5,1925
Jan 03,6.9,2022
Jan 04,2.1,1980
Jan 05,4.8,1980
Jan 06,9.0,1892
Jan 07,13.0,1996
Jan 08,6.3,1988
Jan 09,2.9,1926
Jan 10,3.8,1965
Jan 11,4.3,1904
Jan 12,5.0,1893
Jan 13,8.3,2019
Jan 14,1.6,1957
Jan 15,8.5,1892
Jan 16,10.0,1909
Jan 17,5.5,1935
Jan 18,3.6,1984
Jan 19,7.0,1961
Jan 20,3.8,1975
Jan 21,3.8,2014
Jan 22,10.8,1987
Jan 23,11.5,1935
Jan 24,9.5,1940
Jan 25,9.3,2000
Jan 26,6.9,1966
Jan 27,5.0,1922
Jan 28,21.0,1922
Jan 29,12.0,1966
Jan 30,11.5,1930
Jan 31,5.7,1949
Feb 01,8.0,1934
Feb 02,5.3,1996
Feb 03,9.2,1886
Feb 04,4.5,1995
Feb 05,8.7,2010
Feb 06,9.1,2010
Feb 07,14.4,1936
Feb 08,6.4,1961
Feb 09,5.4,1906
Feb 10,9.4,1926
Feb 11,16.4,1983
Feb 12,7.0,1899
Feb 13,12.0,1899
Feb 14,4.9,1885
Feb 15,12.9,1958
Feb 16,13.3,2003
Feb 17,8.5,1900
Feb 18,4.7,1979
Feb 19,14.0,1979
Feb 20,7.6,1947
Feb 21,7.5,1929
Feb 22,4.5,1894
Feb 23,6.9,1987
Feb 24,5.2,1966
Feb 25,6.5,1894
Feb 26,2.7,1993
Feb 27,3.5,1906
Feb 28,3.1,1964
Mar 01,4.8,1905
Mar 02,4.5,2009
Mar 03,7.1,1960
Mar 04,9.8,1909
Mar 05,4.8,2015
Mar 06,5.4,1923
Mar 07,8.0,1941
Mar 08,5.8,1911
Mar 09,8.4,1999
Mar 10,5.3,1907
Mar 11,6.0,1888
Mar 12,2.0,1968
Mar 13,6.5,1993
Mar 14,4.1,1937
Mar 15,8.0,1900
Mar 16,5.2,1892
Mar 17,3.9,2014
Mar 18,2.5,1892
Mar 19,2.3,1906
Mar 20,5.2,1914
Mar 21,5.3,1924
Mar 22,3.8,1914
Mar 23,2.8,1934
Mar 24,1.9,1990
Mar 25,1.7,2014
Mar 26,3.0,1900
Mar 27,6.0,1891
